audio	text
booksent_2013_0001.wav	There would be time enough to send it before the messenger should go to the village.
booksent_2013_0002.wav	David playing to Saul could never have shown a finer sense of the occasion.
booksent_2013_0003.wav	I found her where I had found her the evening before, but she met my quick challenge with blank, scared ignorance.
booksent_2013_0004.wav	I knew what she meant and I replied with a negative head shake.
booksent_2013_0005.wav	Still, all this while, nothing more passed between us save that Flora had let her foolish fern again drop to the ground.
booksent_2013_0006.wav	She had already got back her gaiety and appeared to take this as an answer quite sufficient.
booksent_2013_0007.wav	Prepared and on her guard, as our pursuit had actually made her, she would repress every betrayal.
booksent_2013_0008.wav	I could only grasp her more quickly yet, for even while she spoke the hideous plain presence stood undimmed and undaunted.
booksent_2013_0009.wav	I must have lain there long and cried and wailed for when I raised my head the day was almost done.
booksent_2013_0010.wav	I have likened it to a sentinel, but its slow wheel, for a moment, was rather the prowl of a baffled beast.
booksent_2013_0011.wav	My present quickened courage, however, was such that not too much to let it through I had to shade, as it were my flame.
booksent_2013_0012.wav	He was soon at some distance from me, still breathing hard and again with the air, though now without anger for it, of being confined against his will.
booksent_2013_0013.wav	He could not be accountable for his children's want of spirits or for her want of enjoyment in his company.
booksent_2013_0014.wav	At the end of the first dance, Captain Tilney came towards them again, and much to Catherine's dissatisfaction, pulled his brother away.
booksent_2013_0015.wav	To have her acquaintance with the Tilney's end so soon was an evil which nothing could counterbalance.
booksent_2013_0016.wav	The past suspense of the morning had been ease and quiet to the present disappointment.
booksent_2013_0017.wav	Her grateful and gratified heart could hardly restrain its expressions within the language of tolerable calmness.
booksent_2013_0018.wav	With a mind thus full of happiness, Catherine was hardly aware that two or three days had passed away, without her seeing Isabella for more than a few minutes together.
booksent_2013_0019.wav	To doubt her truth or good intentions was impossible. And yet, during the whole of their conversation, her manner had been odd.
booksent_2013_0020.wav	that he should think it worth his while to fancy himself in love with her was a matter of lively astonishment.
booksent_2013_0021.wav	He might be jealous of her brother as a rival, but if more had seemed implied, the fault must have been in her misapprehension.
booksent_2013_0022.wav	She had resisted its approaches during the whole length of a speech, but it now carried her captive.
booksent_2013_0023.wav	She blamed herself for the extent of her fears and resolved never to think so seriously on the subject again.
booksent_2013_0024.wav	There was a plaintive heaving sound, a death rattle, followed by a short silence.
booksent_2013_0025.wav	His eyes were ominous and his expressions somewhat petulant except when startlingly illuminated by one of his frequent smiles.
booksent_2013_0026.wav	Clark stared straight in front of him at a bolt on the clattering windshield.
booksent_2013_0027.wav	Half-closing her eyes and tipping back her head till it rested on the seatback, she let the savoury breeze fan her eyes and ripple the fluffy curls of her bobbed hair.
booksent_2013_0028.wav	She called Sally Carol Sally, and could not be persuaded that the double name was anything more than a tedious, ridiculous nickname.
booksent_2013_0029.wav	Of all the men she met, she preferred Roger Patton, who was a frequent visitor at the house.
booksent_2013_0030.wav	They passed a little girl done up in gray wool until she resembled a small teddy bear, and Sally Carroll could not resist a gasp of maternal appreciation.
booksent_2013_0031.wav	to be beneath great piles of it all winter long, where even her headstone would be a light shadow against light shadows.
booksent_2013_0032.wav	On a tall hill outlined in vivid glaring green against the wintry sky stood the ice palace.
booksent_2013_0033.wav	She looked round the empty chamber; the rest of the party had evidently decided to go home, were already outside somewhere in the blundering snow.
booksent_2013_0034.wav	And from that day to this, the camel always wears a hump. We call it hump now, not to hurt his feelings.
booksent_2013_0035.wav	They had just walked off and hidden themselves in the shadowy forest.
booksent_2013_0036.wav	Not always was the kangaroo as now we do behold him, but a different animal with four short legs.
booksent_2013_0037.wav	In the very middle of those times was a stickly prickly hedgehog, and he lived on the banks of the turbid Amazon, eating shelly snails and things.
booksent_2013_0038.wav	And he had a friend, a slow, solid tortoise, who lived on the banks of the turbid Amazon eating green lettuces and things.
booksent_2013_0039.wav	From that day to this the moon has always pulled the sea up and down and made what we call the tides.
